 No.	Product	PartNr	Kanban	PartType(KB Type)	Position	ActualQuantity	BundleQuantity	BatchQuantity	KanBanPosition	RouteNr	ChangeQty
141	91C534902	91C53490230	423497/423498	BlueCard	Remark1	100	100	100	Remark1	30	N
142	91C535501	91C535501315	426764	WhiteCard	Remark1	600	100	100	Remark1	315	Y
143	91C535501	91C53550180	426712	WhiteCard	Remark1	100	100	100	Remark1	80	N
144	91C529002	91C529002110	423908	WhiteCard	Remark1	200	100	100	Remark1	110	Y
145	91C539301	91C53930140	446193/446194	BlueCard	Remark1	500	100	100	Remark1	40	Y
146	91C530102	91C53010275	427014	WhiteCard	Remark1	400	100	100	Remark1	75	Y
147	91C533901	91C53390140	399187/399188	BlueCard	Remark1	100	100	100	Remark1	40	N
148	91C533901	91C53390145	399189	WhiteCard	Remark1	200	100	100	Remark1	45	Y
149	91C604901	91C6049012910	311463/311464	BlueCard	Remark1	300	100	100	Remark1	2910	Y
150	91C535501	91C535501372	426802/426803	BlueCard	Remark1	400	100	100	Remark1	372	Y
151	91C535001	91C535001715	423904	WhiteCard	Remark1	400	100	100	Remark1	715	Y
152	91C535501	91C535501370	426772	WhiteCard	Remark1	300	100	100	Remark1	370	Y
153	91C529102	91C52910275	426956	WhiteCard	Remark1	300	100	100	Remark1	75	Y
154	91C531402	91C53140215	420842/420843	BlueCard	Remark1	800	100	100	Remark1	15	Y
155	91C538801	91C538801970	424139/424140	BlueCard	Remark1	300	100	100	Remark1	970	Y
156	91C540901	91C540901175	422514/422515	BlueCard	Remark1	2100	100	100	Remark1	175	Y
157	91C533502	91C53350265	427264	WhiteCard	Remark1	100	100	100	Remark1	65	N
158	91C540001	91C540001245	425507/425508	BlueCard	Remark1	100	100	100	Remark1	245	N
159	91C533101	91C53310125	399071	WhiteCard	Remark1	100	100	100	Remark1	25	N
160	91C541001	91C54100137	423862/423863	BlueCard	Remark1	1200	100	100	Remark1	37	Y
